,total_energy_Wh,average_power_W,maxPower,t0_900,t1_900
,43700,6475.673006,11000,34,62
,26510,2670.509556,11000,34,74
,10700,1087.336984,11000,33,74
,22269,2987.011439,11000,33,64
,8960,957.0093458,11000,33,72
,25720,2681.882694,11000,33,72
,27640,2232.382833,11000,33,83
,33420,3813.496466,11000,33,69
,5400,1429.516876,11000,33,49
,9800,1340.629275,11000,33,63
,25309,3358.363435,11000,33,64
,40589,9044.902507,11000,32,51
,3970,853.3556246,11000,32,52
,49790,5419.975205,11000,32,70
,30180,2755.535266,11000,32,77
,4130,486.0411899,11000,32,67
,5360,894.2441375,11000,32,57
,22600,2365.253794,11000,32,71
,7790,813.0345287,11000,32,71
,12310,1436.266407,11000,31,67
,7000,748.7743277,11000,31,69
,6150,713.5950493,11000,31,67
,9140,1122.505373,11000,31,64
,22330,3225.4544,11000,30,59
,33521,5109.692171,11000,30,58
,17770,1742.10942,11000,30,72
,9430,1066.507493,11000,29,66
,13160,1655.519446,11000,29,62
,14891,3312.791991,11000,28,47
,38650,3785.813403,11000,28,70
,14179,1807.777306,11000,28,61
,8020,4330.583471,11000,28,36
,40701,5414.367009,11000,28,59
,6540,1185.200101,11000,27,50
,26710,2399.101796,11000,26,72
,7790,1138.380353,11000,26,55
,7310,1678.744578,11000,26,44
,9460,1106.90025,11000,25,60
,21930,11063.34081,11000,59,68
,9670,3214.404432,11000,55,68
,14601,10481.27617,11000,54,61
,7810,1406.643986,11000,47,71
,16690,3495.491303,11000,47,67
,20340,5988.223749,11000,45,60
,20319,5252.272564,11000,43,60
,9550,1233.850129,11000,43,75
,44900,6183.153546,11000,40,70
,60500,8306.319362,11000,39,69
,23860,3185.462637,11000,39,70
,12670,2131.800337,11000,39,64
,3920,592.7917332,11000,38,65
,37700,4831.956707,11000,37,69
,23120,5577.430811,11000,37,55
,58619,8599.364303,11000,37,65
,15730,1955.049197,11000,37,70
,9161,1758.068127,11000,37,59
,15880,2259.604743,11000,37,66
,9150,1850.353893,11000,36,57
,6610,757.37611,11000,36,72
,26121,3202.738326,11000,36,70
,20440,2878.422782,11000,36,65
,24030,3543.376751,11000,36,64
,33229,3602.168087,11000,36,73
,33109,4453.29348,11000,36,66
,6870,795.7272932,11000,36,71
,14290,2995.458251,11000,35,56
,41520,5583.146571,11000,35,66
,46760,5365.290837,11000,35,71
,14930,4770.814841,11000,35,49
,30241,3595.719523,11000,35,70
,25061,2889.431207,11000,35,71
,4150,817.0184841,11000,35,57
,23690,4729.591837,11000,35,56
,17490,1839.976622,11000,35,74
,46140,4917.811464,11000,35,74
,12610,1453.23004,11000,35,71
,33970,5467.76357,11000,35,61
,6570,836.2620656,11000,35,67
,15680,3693.515671,11000,35,53
,19800,2593.886463,11000,35,66
,21680,3043.044292,11000,34,64
,5410,702.9778018,11000,34,66
,5330,1496.257018,11000,34,50
,17351,2287.5412,11000,34,66
,28970,3430.545048,11000,34,69
,6389,594.5099256,11000,34,78
,6330,770.9327108,11000,34,68
,5130,608.8017142,11000,34,69
,5940,918.7145558,11000,34,61
,7530,997.6813514,11000,34,65
,36291,4184.204458,11000,34,69
,45860,5160.056259,11000,34,70
,20270,4958.684425,11000,34,51
,24830,4358.051777,11000,34,57
,9710,1059.593816,11000,33,71
,7930,882.1184686,11000,33,70
,7070,870.2431019,11000,33,67
,12140,1861.32879,11000,33,60
,42151,4236.872819,11000,33,74
,10300,1051.467461,11000,33,73
,31820,3614.197823,11000,33,69
,9330,1817.139147,11000,33,54
,6940,528.4711058,11000,32,86
,37510,4658.020007,11000,32,66
,46690,10372.99432,11000,32,51
,6990,722.6881103,11000,32,71
,42691,3900.700508,11000,32,76
,6040,652.0917679,11000,32,70
,31389,3373.851253,11000,32,70
,16710,1745.929473,11000,31,71
,29000,4014.921355,11000,31,61
,9800,1163.741918,11000,31,66
,28930,3527.092929,11000,31,65
,11310,967.9535945,11000,31,79
,31160,2984.594918,11000,31,73
,17980,4092.823269,11000,30,49
,10040,1578.064967,11000,30,57
,11550,1523.300117,11000,30,61
,55360,6112.061827,11000,30,67
,10320,1214.752812,11000,30,65
,6871,826.0068123,11000,29,64
,37330,4744.836352,11000,29,62
,17890,2636.3748,11000,29,57
,15660,1367.785137,11000,29,76
,54130,5873.764167,11000,28,66
,38589,3412.858371,11000,26,72
,22670,2672.473639,11000,26,61
,26299,3192.917847,11000,25,59
,24330,2724.269852,11000,25,61
,10999,10759.8913,11000,65,70
,17571,4418.833392,11000,57,74
,19470,6715.722909,11000,56,68
,11091,3557.975405,11000,55,69
,21730,6844.693324,11000,54,68
,8530,2284.141625,11000,54,70
,45870,8470.47961,11000,51,74
,16359,6793.447918,11000,51,61
,23150,8588.211047,11000,50,62
,21610,6808.681953,11000,48,61
,34110,4829.354623,11000,44,73
,11851,2932.004673,11000,43,60
,18971,4688.056013,11000,43,60
,7260,1144.508671,11000,42,69
,9570,1540.098346,11000,42,67
,10000,2833.084127,11000,41,56
,13640,1820.892202,11000,40,71
,26210,3387.642265,11000,40,72
,19340,2410.302569,11000,39,72
,34571,4330.999443,11000,38,71
,8839,1273.427245,11000,38,66
,20780,2917.628705,11000,37,67
,19760,2638.771422,11000,37,68
,15829,3466.62611,11000,37,57
,9080,990.3653881,11000,37,75
,7100,1237.053528,11000,37,61
,11740,1572.49693,11000,37,68
,36350,5053.290083,11000,37,66
,7249,883.8746825,11000,36,70
,7800,1377.010592,11000,36,60
,45690,5631.663642,11000,36,70
,5919,2136.180451,11000,36,48
,5970,822.7547661,11000,36,66
,43939,6254.167326,11000,36,65
,35060,5792.647666,11000,36,61
,2200,522.220757,11000,36,54
,30481,4325.420789,11000,36,65
,5760,929.7820823,11000,36,62
,18790,5877.997914,11000,36,50
,7150,871.9512195,11000,36,69
,5290,602.6200873,11000,35,72
,21001,4001.249008,11000,35,57
,22860,3310.910846,11000,35,64
,16449,4479.304085,11000,35,51
,9570,1133.140376,11000,35,70
,5250,1330.611095,11000,35,51
,18391,2248.517575,11000,34,68
,10510,1548.941745,11000,34,63
,17130,5308.884298,11000,34,48
,5660,668.964838,11000,34,69
,18039,2777.961244,11000,34,61
,40350,9084.427767,11000,34,53
,7990,989.8482398,11000,34,67
,9010,2653.685675,11000,34,48
,29870,3534.44649,11000,34,69
,17010,1977.076809,11000,33,69
,30930,4370.530282,11000,33,63
,23069,2324.137352,11000,33,74
,33869,5793.699216,11000,33,57
,29010,4210.280185,11000,33,61
,3879,571.6086779,11000,33,61
,4150,1375.563944,11000,33,46
,25860,2675.556833,11000,33,72
,34179,3940.194697,11000,33,68
,63630,6859.144808,11000,32,71
,42270,4410.654764,11000,32,72
,9490,923.9006977,11000,32,74
,2600,1021.834061,11000,32,43
,7580,784.7693547,11000,32,72
,9030,1422.794118,11000,32,58
,5099,629.1825193,11000,32,65
,10969,1307.130089,11000,31,65
,15700,2547.667343,11000,31,57
,9240,1543.716354,11000,31,56
,6319,778.3617327,11000,30,64
,36260,3737.181139,11000,30,70
,2000,243.7208043,11000,30,63
,5649,744.0237076,11000,29,61
,6720,1945.320039,11000,29,44
,33400,3254.391426,11000,29,71
,8660,956.2603521,11000,28,65
,23980,4457.709388,11000,28,50
,36570,4295.614722,11000,27,62
,63620,5796.810934,11000,26,70
,14250,11329.5053,11000,56,62
,24889,10378.82544,11000,51,61
,13760,5658.023986,11000,42,53
,23740,7207.894071,11000,39,53
,60720,7309.05808,11000,39,73
,9430,1608.757464,11000,39,63
,15520,2237.565078,11000,37,65
,8620,948.7877213,11000,36,73
,24940,8039.398281,11000,36,49
,13591,4195.472475,11000,36,50
,21780,6158.824916,11000,35,50
,39980,4716.012976,11000,35,70
,23410,4299.357208,11000,34,57
,30550,4145.495665,11000,34,65
,6900,1222.440945,11000,34,58
,30889,11330.79275,11000,34,46
,24261,6102.969744,11000,34,51
,13049,1936.612112,11000,34,62
,14740,4602.254987,11000,34,47
,9530,2068.740955,11000,34,53
,18100,2245.348036,11000,33,66
,17920,2022.573363,11000,33,69
,8610,987.5426132,11000,33,69
,18420,2265.682657,11000,32,66
,6990,764.3056737,11000,32,70
,8620,981.2800405,11000,32,68
,9310,1408.294466,11000,31,58
,25030,3354.72822,11000,31,61
,21460,2167.3119,11000,30,71
